CountryCode;TemperatureAvg;Month;Year
MEX;18,725699985815;11;2019
MEX;15,9441805657657;12;2019
MEX;15,8170412778154;1;2020
MEX;17,0159389048229;2;2020
MEX;20,3663025589122;3;2020
MEX;23,0033532395229;4;2020
MEX;24,6940756324577;5;2020
MEX;25,50677731304;6;2020
MEX;25,6567691121372;7;2020
MEX;25,8143496091392;8;2020
MEX;23,8355683180907;9;2020
MEX;22,3264489516197;10;2020
LUX;4,72233238220215;11;2019
LUX;4,15493845939636;12;2019
LUX;3,7504762172699;1;2020
LUX;5,21054487228394;2;2020
LUX;5,76811475753784;3;2020
LUX;11,5522077560425;4;2020
LUX;12,6356636047363;5;2020
LUX;16,1192501068115;6;2020
LUX;17,9245746612549;7;2020
LUX;20,2459854125977;8;2020
LUX;15,7118198394775;9;2020
LUX;9,91228847503662;10;2020
UZB;1,44949727079588;11;2019
UZB;2,34238063238182;12;2019
UZB;0,045698020330837;1;2020
UZB;4,1393993156357;2;2020
UZB;9,22276788283685;3;2020
UZB;15,0149476572776;4;2020
UZB;23,0393519611116;5;2020
UZB;27,6642965851316;6;2020
UZB;29,5632325336432;7;2020
UZB;26,0221369980247;8;2020
UZB;18,6860556371652;9;2020
UZB;11,0517269193272;10;2020
SUR;27,4052884037938;11;2019
SUR;25,8825581774112;12;2019
SUR;25,76461678165;1;2020
SUR;25,784206661381;2;2020
SUR;26,6344913926753;3;2020
SUR;26,1298272623591;4;2020
SUR;25,6243869815625;5;2020
SUR;25,5151279616197;6;2020
SUR;26,0674144678494;7;2020
SUR;26,2813904434432;8;2020
SUR;27,1279958358047;9;2020
SUR;28,0407396101005;10;2020
KAZ;-4,58734976004559;11;2019
KAZ;-5,23056612722484;12;2019
KAZ;-6,60982173099148;1;2020
KAZ;-3,83928707151454;2;2020
KAZ;1,44389788576187;3;2020
KAZ;11,0483642683657;4;2020
KAZ;19,0807196325482;5;2020
KAZ;21,8814999029578;6;2020
KAZ;24,8835970380556;7;2020
KAZ;21,7608050507763;8;2020
KAZ;14,0938326712223;9;2020
KAZ;6,72631686370853;10;2020
HND;23,2324423935932;11;2019
HND;22,315279807315;12;2019
HND;22,4422054242622;1;2020
HND;23,3338945124891;2;2020
HND;24,0501636410073;3;2020
HND;26,6404664411914;4;2020
HND;25,9050030623598;5;2020
HND;24,952005768557;6;2020
HND;25,1126594310865;7;2020
HND;24,8995064516335;8;2020
HND;25,1007796434163;9;2020
HND;24,172079148408;10;2020
SVK;7,14219521461649;11;2019
SVK;1,57846756334952;12;2019
SVK;-1,27248574670483;1;2020
SVK;3,169624850253;2;2020
SVK;4,63957946414643;3;2020
SVK;9,36906131784967;4;2020
SVK;11,4817442995437;5;2020
SVK;17,6183032279319;6;2020
SVK;18,9222460604729;7;2020
SVK;20,1265125680477;8;2020
SVK;15,2827700655511;9;2020
SVK;9,78412828546889;10;2020
SVN;7,68847185013954;11;2019
SVN;3,23923376900984;12;2019
SVN;1,20171722345135;1;2020
SVN;5,39352039314163;2;2020
SVN;6,07439160799886;3;2020
SVN;11,2135266322005;4;2020
SVN;13,9358808241344;5;2020
SVN;17,86143273704;6;2020
SVN;19,9332343536122;7;2020
SVN;20,8410347223726;8;2020
SVN;16,2926691811639;9;2020
SVN;10,6549739477583;10;2020
FIN;-3,47927392287058;11;2019
FIN;-2,6049893853147;12;2019
FIN;-3,51959135798578;1;2020
FIN;-4,41839866333234;2;2020
FIN;-2,35347494255405;3;2020
FIN;0,366372924160042;4;2020
FIN;6,23466929127298;5;2020
FIN;16,0757514436041;6;2020
FIN;14,7326419542782;7;2020
FIN;13,9586379932998;8;2020
FIN;9,79880526437232;9;2020
FIN;4,76083784887015;10;2020
SWE;-3,11886907028033;11;2019
SWE;-2,10801389968477;12;2019
SWE;-0,98945424135815;1;2020
SWE;-3,1001442931971;2;2020
SWE;-1,18541479712728;3;2020
SWE;2,32969751218859;4;2020
SWE;5,80407638268454;5;2020
SWE;15,6203014340141;6;2020
SWE;12,9823590330332;7;2020
SWE;14,2030523128735;8;2020
SWE;9,55105077268436;9;2020
SWE;4,8362497175308;10;2020
OMN;24,8996217711592;11;2019
OMN;22,3972960785315;12;2019
OMN;19,7551287393692;1;2020
OMN;21,7016304243835;2;2020
OMN;24,1027500950053;3;2020
OMN;30,0783074964061;4;2020
OMN;32,8619096109512;5;2020
OMN;34,5218832667062;6;2020
OMN;33,1989721232163;7;2020
OMN;33,9586829033729;8;2020
OMN;31,1982011970548;9;2020
OMN;27,9766334604273;10;2020
FJI;24,368508605957;11;2019
FJI;25,8040679931641;12;2019
FJI;25,8873377990723;1;2020
FJI;26,4900485992432;2;2020
FJI;26,1953567504883;3;2020
FJI;25,7431601715088;4;2020
FJI;24,856143951416;5;2020
FJI;24,4029020690918;6;2020
FJI;23,7673964691162;7;2020
FJI;24,2626438903809;8;2020
FJI;23,6941197967529;9;2020
FJI;24,5750582122803;10;2020
TGO;27,7203369160764;11;2019
TGO;27,3336170576243;12;2019
TGO;27,3573531590197;1;2020
TGO;29,36149657348;2;2020
TGO;30,3131296684163;3;2020
TGO;29,2473525060933;4;2020
TGO;28,3041090672272;5;2020
TGO;26,5604476944337;6;2020
TGO;25,3891845897882;7;2020
TGO;25,2311905866746;8;2020
TGO;25,2748692171066;9;2020
TGO;26,4304329402695;10;2020
THA;25,5604449965611;11;2019
THA;23,3281567882211;12;2019
THA;25,1219820567935;1;2020
THA;25,8398634934114;2;2020
THA;28,6295211996845;3;2020
THA;29,122411667003;4;2020
THA;29,760056015369;5;2020
THA;28,2556210588475;6;2020
THA;28,1092316886337;7;2020
THA;27,2509696971522;8;2020
THA;27,3959474494391;9;2020
THA;25,569399491796;10;2020
DEU;5,32982210496042;11;2019
DEU;3,85985559934787;12;2019
DEU;3,57711241295269;1;2020
DEU;5,36216946741723;2;2020
DEU;5,38592226168312;3;2020
DEU;10,5346877505758;4;2020
DEU;12,0461995095618;5;2020
DEU;17,0586610528342;6;2020
DEU;17,8168778981078;7;2020
DEU;20,1338950784621;8;2020
DEU;14,9931688593945;9;2020
DEU;10,2899542376672;10;2020
SWZ;22,4606301116943;11;2019
SWZ;22,1876892089844;12;2019
